etcd_8c_5s_trail1,1288.5562,0.0062,0.0059,0.0144
etcd_8c_5s_trail2,1116.6188,0.0072,0.0066,0.0184
etcd_8c_5s_trail3,1328.7424,0.006,0.0058,0.0118
etcd_16c_5s_trail1,1984.1587,0.0081,0.0076,0.015
etcd_16c_5s_trail2,2087.4205,0.0077,0.0073,0.0139
etcd_16c_5s_trail3,2047.6967,0.0078,0.0073,0.0154
etcd_32c_5s_trail1,3158.3167,0.0101,0.0097,0.0184
etcd_32c_5s_trail2,3179.0946,0.0101,0.0098,0.0174
etcd_32c_5s_trail3,3179.8534,0.0101,0.0097,0.0174
etcd_48c_5s_trail1,4469.5603,0.0107,0.0104,0.021
etcd_48c_5s_trail2,4488.944,0.0107,0.0104,0.0198
etcd_48c_5s_trail3,4396.0391,0.0109,0.0105,0.021
etcd_64c_5s_trail1,5448.0766,0.0117,0.0113,0.0197
etcd_64c_5s_trail2,5407.2826,0.0118,0.0114,0.0197
etcd_64c_5s_trail3,5264.8433,0.0122,0.0117,0.0216
etcd_80c_5s_trail1,6453.4467,0.0124,0.0119,0.0209
etcd_80c_5s_trail2,6405.8825,0.0125,0.012,0.021
etcd_80c_5s_trail3,6456.4381,0.0124,0.0117,0.0233
etcd_96c_5s_trail1,7218.3774,0.0133,0.0127,0.0231
etcd_96c_5s_trail2,7757.9701,0.0124,0.0119,0.0207
etcd_96c_5s_trail3,7178.1289,0.0134,0.0128,0.0227
etcd_128c_5s_trail1,8396.2334,0.0152,0.0146,0.0266
etcd_128c_5s_trail2,8317.7209,0.0154,0.0147,0.0271
etcd_128c_5s_trail3,8997.443,0.0142,0.013,0.0301
etcd_160c_5s_trail1,9357.4338,0.0171,0.0164,0.0306
etcd_160c_5s_trail2,9702.2136,0.0165,0.0157,0.0303
etcd_160c_5s_trail3,9925.433,0.0161,0.0148,0.0335
etcd_192c_5s_trail1,10996.6103,0.0175,0.016,0.0361
etcd_192c_5s_trail2,9506.5084,0.0202,0.0166,0.0626
etcd_192c_5s_trail3,10856.7016,0.0177,0.0161,0.0373
etcd_224c_5s_trail1, 10487.9225, 0.0213, 0.0203, 0.0386, 224
etcd_224c_5s_trail2, 11100.8008, 0.0202, 0.0191, 0.0368, 224
etcd_224c_5s_trail3, 11023.4952, 0.0203, 0.0192, 0.0373, 224
etcd_256c_5s_trail1,11026.6661,0.0232,0.022,0.0423
etcd_256c_5s_trail2,12282.661,0.0208,0.0191,0.0416
etcd_256c_5s_trail3,10814.4877,0.0237,0.0225,0.042
etcd_320c_5s_trail1,11915.4453,0.0268,0.0255,0.0484
etcd_320c_5s_trail2,11449.8276,0.0279,0.0266,0.0492
etcd_320c_5s_trail3,11433.7291,0.028,0.0266,0.05
etcd_384c_5s_trail1,12411.129,0.0309,0.0294,0.0544
etcd_384c_5s_trail2,11671.5649,0.0329,0.0314,0.0574
etcd_384c_5s_trail3,14025.2901,0.0274,0.0253,0.0533
