etcd_8c_3s_trail1, 1067.5108, 0.0075, 0.0066, 0.0227, 8
etcd_16c_3s_trail1, 1506.8157, 0.0106, 0.0093, 0.0227, 16
etcd_32c_3s_trail1, 2438.1638, 0.0131, 0.0112, 0.0358, 32
etcd_48c_3s_trail1, 2622.1684, 0.0183, 0.0146, 0.0455, 48
etcd_64c_3s_trail1, 2686.7130, 0.0238, 0.0228, 0.0505, 64
etcd_80c_3s_trail1, 2943.1312, 0.0272, 0.0268, 0.0467, 80
etcd_96c_3s_trail1, 3137.0135, 0.0306, 0.0300, 0.0525, 96
etcd_128c_3s_trail1, 3183.4954, 0.0402, 0.0398, 0.0721, 128
etcd_160c_3s_trail1, 3675.5690, 0.0435, 0.0418, 0.0759, 160
etcd_192c_3s_trail1, 3744.5867, 0.0513, 0.0498, 0.0890, 192
etcd_224c_3s_trail1, 3360.4330, 0.0666, 0.0647, 0.1175, 224
etcd_256c_3s_trail1, 3687.8560, 0.0694, 0.0675, 0.1185, 256
