name,throughput (op/s),average latency (ms),99% latency (ms),99.9% latency (ms)
copilot_exp6_t12_c1_trail1, 6373.16766909439, 1.8320362538252113, 3.696044921875, 6.957763671875
copilot_exp6_t12_c1_trail2, 6897.21025076081, 1.720724399032746, 3.372314453125, 6.552001953125
copilot_exp6_t12_c1_trail3, 6893.724570277932, 1.688427699529492, 3.811767578125, 7.283203125
copilot_exp6_t12_c1_trail4, 6939.159454474158, 1.694052576658925, 3.52734375, 6.983154296875
copilot_exp6_t12_c1_trail5, 6752.045853877545, 1.725174794807374, 3.6953125, 7.5244140625
